CD_LCDV;ID_BRAND;ID_FUNMOD;LB_FUNMOD;START_DATE;END_DATE;COUNTRY_SYNTHESIS;PERIODICITY;SYNTHESIS_NAMING
1C58;1;1_1C58;C4 SPACETOURER;01/01/2013;01/05/2016;ALL;P;C4 Spacetourer
1CA3A5;1;1_1CA3A5;C3;01/01/2009;01/06/2016;ALL;P;C3
1CA8A5;1;1_1CA8A5;C3;01/01/2002;01/01/2009;ALL;P;C3
1CB1A3;1;1_1CB1A3;C1;01/01/2014;12/12/9999;ALL;C;C1
1CB5;1;1_1CB5;C4;01/09/2005;01/09/2010;ALL;P;C4
1CB6A5;1;1_1CB6A5;C3;01/06/2016;12/12/9999;ALL;C;C3
1CB7;1;1_1CB7;C4;01/09/2010;12/12/9999;ALL;C;C4
1CB9AF;1;1_1CB9AF;BERLINGO B9;01/01/2014;01/08/2018;ALL;P;Berlingo Multispace
1CE3A5;1;1_1CE3A5;C4 CACTUS;01/01/2014;01/01/2020;ALL;C;C4 Cactus
1CH5AF;1;1_1CH5AF;C4 SPACETOURER;01/05/2016;12/12/9999;ALL;C;C4 Spacetourer
1CH5CL;1;1_1CH5CL;C4 SPACETOURER;01/05/2016;12/12/9999;ALL;C;Grand C4 Picasso
2CK0;1;1_2CK0;SPACETOURER /JUMPY LCV;01/01/2016;12/12/9999;ALL;C;Jumpy
1CK0NM;1;1_1CK0NM;SPACETOURER /JUMPY;01/01/2016;12/12/9999;ALL;C;Space Tourer
1CK9AF;1;1_1CK9AF;BERLINGO K9;01/08/2018;12/12/9999;ALL;C;Berlingo Multispace
1CLAAF;1;1_1CLAAF;SUV C3 AIRCROSS;01/01/2011;01/01/2016;ALL;P;C3 Aircross
1CMSA5;1;1_1CMSA5;C-ZERO;01/01/2016;12/12/9999;ALL;C;C-Zero
1CW8AF;1;1_1CW8AF;SUV C3 AIRCROSS;01/01/2016;12/12/9999;ALL;C;C3 Aircross
1CWA;1;1_1CWA;C3 PICASSO;01/01/2013;01/06/2017;ALL;P;C3 PICASSO
1CX3;1;1_1CX3;C5;01/01/2000;01/01/2004;ALL;P;C5
1CX7;1;1_1CX7;C5;01/01/2004;12/12/9999;ALL;C;C5
2CB9;1;1_2CB9;BERLINGO LCV;01/01/2009;01/06/2018;ALL;P;Berlingo VU
2CK9AF;1;1_2CK9AF;BERLINGO LCV;01/06/2018;12/12/9999;ALL;C;Berlingo VU
2CU91R;1;1_2CU91R;Jumper LCV;01/01/2016;12/12/9999;ALL;C;Jumper
1CB7;2;2_1CB7;DS4;01/01/2016;12/12/9999;ALL;C;DS 4
1CB7D5;2;2_1CB7D5;DS4;01/01/2016;12/12/9999;ALL;C;DS 4 CROSSBACK
1CB8A5;2;2_1CB8A5;DS5;01/01/2016;12/12/9999;ALL;C;DS 5
1CYAA3;2;2_1CYAA3;DS3;01/01/2016;12/12/9999;ALL;C;DS 3
1SD3SY;2;2_1SD3SY;DS3 CROSSBACK;01/01/2018;12/12/9999;ALL;C;DS 3 CROSSBACK
1SX8SU;2;2_1SX8SU;DS7 CROSSBACK;01/01/2016;12/12/9999;ALL;C;DS 7 CROSSBACK
1PB1A5;3;3_1PB1A5;108;01/01/2014;12/12/9999;ALL;C;108
1PB9AF;3;3_1PB9AF;Others;01/01/2015;01/08/2018;ALL;P;Rifter
1PI4SY;3;3_1PI4SY;2008;01/03/2013;12/12/9999;ALL;C;2008
1PK0NM;3;3_1PK0NM;TRAVELLER/EXPERT COMBI;01/01/2016;12/12/9999;ALL;C;Traveller
1PMSA5;3;3_1PMSA5;ION;01/01/2012;12/12/9999;ALL;C;iOn
1PP7CM;3;3_1PP7CM;New SUV 5008;01/01/2016;12/12/9999;ALL;C;5008
1PP8SY;3;3_1PP8SY;SUV 3008;01/01/2016;12/12/9999;ALL;C;3008
1PR8;3;3_1PR8;508 R8;01/07/2018;12/12/9999;ALL;C;508
1PR8A5;3;3_1PR8A5;508 R8;01/07/2018;12/12/9999;ALL;C;508 R8
1PR8C5;3;3_1PR8C5;508 R8;01/07/2018;12/12/9999;ALL;C;508 SW
1PT9A5;3;3_1PT9A5;308;01/01/2013;12/12/9999;ALL;C;308
1PT9C5;3;3_1PT9C5;308;01/01/2013;12/12/9999;ALL;C;308 SW
1PW2;3;3_1PW2;508;01/01/2015;01/07/2018;ALL;P;508
1PW2C5;3;3_1PW2C5;508;01/01/2015;01/07/2018;ALL;P;508 SW
2PK0F1;3;3_2PK0F1;EXPERT LCV;01/01/2016;12/12/9999;ALL;C;Expert
2PU91D;3;3_2PU91D;Boxer LCV;01/01/2016;12/12/9999;ALL;C;Boxer
1CCESY;1;1_1CCESY;SUV C5 AIRCROSS;01/01/2018;12/12/9999;ALL;C;C5 Aircross
1PK9AF;3;3_1PK9AF;RIFTER;01/08/2018;12/12/9999;ALL;C;Rifter
2PK91A;3;3_2PK91A;PARTNER LCV;01/01/2016;12/12/9999;ALL;C;Partner
1CLE;1;1_1CLE;C4 CACTUS;01/01/2020;12/12/9999;ALL;F;C4 Cactus
1CB0E2;1;1_1CB0E2;E-MEHARI;01/01/2016;12/12/9999;ALL;C;E-Mehari
1PP2A5;3;3_1PP2A5;NOUVELLE 208;07/06/2019;12/12/9999;France;F;208
1PP2A5;3;3_1PP2A5;NOUVELLE 208;11/06/2019;12/12/9999;Netherlands;F;208
